"","x","1N01T","1N02T","1N03T","1N04T","1N05T","1N06T","1N07T","1N08T","1N09T","1N10T","1N11T","1N12T","1N13T","1N14T","1S01T","1S02T","1S03T","1S04T","1S05T","1S06T","1S07T","1S08T","1S09T","2N01T","2N02T","2N03T","2N04T","2N05T","2N06T","2N07T","2N08T","2N09T","2N10T","2N11T","2N12T","2N13T","2N14T","2S01T","2S03T","2S04T","2S05T","2S06T","2S07T","2S08T","2S09T","3N01T","3N02T","3N03T","3S01T","3S02T","3S03T","3S04T"
"183",183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"031101"
"184",184,,,,,,,,,,"031114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"185",185,,,,,,,,,,,"031114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"186",186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"031114",,,,,,,,,,,,,,,,,,,
"187",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"031114",,,,,,,,,,,,,,,,,,
"188",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"031214",,,,,,,,,,,,,,,,,,
"189",189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"031214",,,,,,,,,,,,,,,,,,,
"190",190,,,,,,,,,,,"031215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"191",191,,,,,,,,,,"031215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"192",192,,,,,,,,,,,,,,,,,,,"031511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"193",193,,,,,,,,,,,"031903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"194",194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"031903",,,,,,,,,,,,,,,,,,
"195",195,,,,,,,,,,,,,,,,,,,"031986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"196",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032014",,,,,,,,,,,,,,,,,,,,,
"197",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032063",,,,,,,,
"198",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032110",,,,,,,,,,,,,,,,,,,,,
"199",199,,,,,,,,,,,"032131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032281",,,,,,,,,,,,,,,,,,,,,
"201",201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032361",,,,,,,,,,,,,,,,,,,,,
"202",202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032607",,,,,,,,,,,,,,,,
"203",203,,,,,,,,,,,"032675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"204",204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032675",,,,,,,,,,,,,,,,,,
"205",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032679",,,
"206",206,,,,,,,,,,,,,,,,,,,,,,,,"032723",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"207",207,,,,,,,,,,,,,,,,,,,,,,,,,"032723",,,,,,,,,,,,,,,,,,,,,,,,,,,
"208",208,,,,,,,,,,,,,,,,,,,,,,,,,,"032723",,,,,,,,,,,,,,,,,,,,,,,,,,
"209",209,,,,,,,,,,,,,,,,,,,,,,,,,,,"032723",,,,,,,,,,,,,,,,,,,,,,,,,
"210",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032723",,,,,,,,,,,,,,,,,,,,,,,,
"211",211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032723",,,,,,,,,,,,,,,,,,,,,,,
"212",212,,,,,,,,,,,"033036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"213",213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"033317",,,,,,,,,
"214",214,,,,,,,,,,,,,,,,,,"033390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"215",215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"033391",,,,,,,,,,,,
