"","solicitacao","localizacao","descricao","tempo_abertura","tempo_falha","tempo_encerramento","cmt","tempo_duracao","cdv"
"283",59013,"SINCDVREC","CDV 3S04T COM FALSA OCUPACAO CONSTANTE",2017-03-14 11:14:00,2017-03-14 11:00:00,2017-03-14 15:01:00,NA,13620s (~3.78 hours),"3S04T"
"284",59332,"SINCDVPAZ","FALSA OCUPACAO NO CDV 2S08T",2017-03-22 18:48:00,2017-03-22 18:35:00,2017-03-27 14:32:00,"RECS",416640s (~4.82 days),"2S08T"
"285",59546,"SINCDVPAZ","FALSA OCUPACAO NO CDV 2S08-T",2017-03-28 08:56:00,2017-03-28 07:58:00,2017-03-28 14:53:00,"RECS",21420s (~5.95 hours),"2S08T"
"286",59724,"SINCDVREC","FALSA OCUPACAO CONSTANTE NO CDV 2N01T.",2017-04-01 04:46:00,2017-04-01 04:46:00,2017-04-01 05:53:00,NA,4020s (~1.12 hours),"2N01T"
"287",61448,"SINCDVREC","BIPOINT 3S01T , NO TRAVESSAO 21, ATIVADO CONSTANTEMENTE.",2017-05-17 20:48:00,2017-05-17 20:45:00,2017-05-18 11:17:00,NA,52140s (~14.48 hours),"3S01T"
"288",61485,"SINCDVJOA","FALSA OCUPACAO NO CDV 3S04T . OBS: APOS FLASH NO TUE 01.",2017-05-18 18:08:00,2017-05-18 18:01:00,2017-05-18 23:32:00,NA,19440s (~5.4 hours),"3S04T"
"289",61492,"SINCDVPAZ","FALSA OCUPACAO NO CDV 1N14-T",2017-05-19 08:03:00,2017-05-19 06:30:00,2017-09-01 16:01:00,"RECS",9100680s (~15.05 weeks),"1N14T"
"290",61742,"SINCDVPRZ","FALSA OCUPACAO INTERMITENTE NO CDV 2N05T.",2017-05-25 13:19:00,2017-05-25 13:19:00,2017-05-29 13:38:00,"CAJ",346740s (~4.01 days),"2N05T"
"291",61767,"SINCDVPRZ","FALSA OCUPACAO INTERMITENTE NO CDV 2N05T.",2017-05-25 20:03:00,2017-05-25 19:18:00,2017-05-26 20:24:00,"CAJ",87660s (~1.01 days),"2N05T"
"292",61768,"SINCDVLAR","FALSA OCUPACAO INTERMITENTE NO CDV 2N11T.",2017-05-25 20:06:00,2017-05-25 19:18:00,2017-05-25 21:03:00,"CAJ",3420s (~57 minutes),"2N11T"
"293",62203,"SINCDVRECSUL","CABO ROMPIDO NO CDV 3S01",2017-06-05 17:51:00,2017-06-05 17:51:00,2017-07-14 09:13:00,"RECS",3338520s (~5.52 weeks),"3S01T"
"294",62389,"SINCDVREC","BIPOINT 3S01 TRAVESSAO 21 INIBINDO SINALEIRO DE ENTRADA E SAIDA",2017-06-09 17:20:00,2017-06-09 17:12:00,2017-07-11 14:36:00,NA,2754960s (~4.56 weeks),"3S01T"
"295",62554,"SINCDVGUA","BI-POINT 2N06-T ACESO INTERMITENTE",2017-06-14 11:40:00,2017-06-14 10:25:00,2017-06-19 06:37:00,"CAJ",413820s (~4.79 days),"2N06T"
"296",62767,"SINCDVRECSUL","FALSA OCUPACAO CONSTANTE CDV 3S01T FECHA SINALEIRO 1A",2017-06-20 16:49:00,2017-06-20 16:49:00,2017-06-22 15:12:00,"RECS",166980s (~1.93 days),"3S01T"
"297",62838,"SINCDVJOA","FALSA OCUPACAO CONSTANTE NO CDV 3S04T.",2017-06-21 22:05:00,2017-06-21 22:01:00,2017-06-22 15:22:00,NA,62220s (~17.28 hours),"3S04T"
"298",62910,"SINCDVREC","FALSA OCUPACAO CDV 3S04T CONSTANTE",2017-06-23 14:34:00,2017-06-23 11:55:00,2017-06-23 17:43:00,NA,11340s (~3.15 hours),"3S04T"
"299",62962,"SINCDVCAJ","FALSA OCUPACAO NO CDV 2N01T",2017-06-25 11:42:00,2017-06-25 11:40:00,2017-06-26 11:59:00,"CAJ",87420s (~1.01 days),"2N01T"
"300",63589,"SINCDVREC","FALSA OCUPACAO CONSTANTE NO CDV 3S01T",2017-07-11 11:01:00,2017-07-11 11:00:00,2017-07-11 14:43:00,NA,13320s (~3.7 hours),"3S01T"
"301",63725,"SINCDVNEV","FALSA OCUPACAO CONSTANTE NO CDV 2S01T",2017-07-14 07:01:00,2017-07-14 06:57:00,2017-07-14 14:44:00,"NEV",27780s (~7.72 hours),"2S01T"
